"order_insert","anime_id","name","genre","type","episodes","rating","members"
"1",32281,"Kimi no Na wa.","Drama, Romance, School, Supernatural","Movie","1",9.37,200630
"2",5114,"Fullmetal Alchemist: Brotherhood","Action, Adventure, Drama, Fantasy, Magic, Military, Shounen","TV","64",9.26,793665
"3",28977,"Gintama°","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","TV","51",9.25,114262
"4",9253,"Steins;Gate","Sci-Fi, Thriller","TV","24",9.17,673572
"5",9969,"Gintama&#039;","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","TV","51",9.16,151266
"6",32935,"Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou","Comedy, Drama, School, Shounen, Sports","TV","10",9.15,93351
"7",11061,"Hunter x Hunter (2011)","Action, Adventure, Shounen, Super Power","TV","148",9.13,425855
"8",820,"Ginga Eiyuu Densetsu","Drama, Military, Sci-Fi, Space","OVA","110",9.11,80679
"9",15335,"Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Movie","1",9.1,72534
"10",15417,"Gintama&#039;: Enchousen","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","TV","13",9.11,81109
"11",4181,"Clannad: After Story","Drama, Fantasy, Romance, Slice of Life, Supernatural","TV","24",9.06,456749
"12",28851,"Koe no Katachi","Drama, School, Shounen","Movie","1",9.05,102733
"13",918,"Gintama","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","TV","201",9.04,336376
"14",2904,"Code Geass: Hangyaku no Lelouch R2","Action, Drama, Mecha, Military, Sci-Fi, Super Power","TV","25",8.98,572888
"15",28891,"Haikyuu!! Second Season","Comedy, Drama, School, Shounen, Sports","TV","25",8.93,179342
"16",199,"Sen to Chihiro no Kamikakushi","Adventure, Drama, Supernatural","Movie","1",8.93,466254
"17",23273,"Shigatsu wa Kimi no Uso","Drama, Music, Romance, School, Shounen","TV","22",8.92,416397
"18",24701,"Mushishi Zoku Shou 2nd Season","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","TV","10",8.88,75894
"19",12355,"Ookami Kodomo no Ame to Yuki","Fantasy, Slice of Life","Movie","1",8.84,226193
"20",1575,"Code Geass: Hangyaku no Lelouch","Action, Mecha, Military, School, Sci-Fi, Super Power","TV","25",8.83,715151
"21",263,"Hajime no Ippo","Comedy, Drama, Shounen, Sports","TV","75",8.83,157670
"22",44,"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen","Action, Drama, Historical, Martial Arts, Romance, Samurai","OVA","4",8.83,129307
"23",1,"Cowboy Bebop","Action, Adventure, Comedy, Drama, Sci-Fi, Space","TV","26",8.82,486824
"24",30276,"One Punch Man","Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural","TV","12",8.82,552458
"25",164,"Mononoke Hime","Action, Adventure, Fantasy","Movie","1",8.81,339556
"26",7311,"Suzumiya Haruhi no Shoushitsu","Comedy, Mystery, Romance, School, Sci-Fi, Supernatural","Movie","1",8.81,240297
"27",17074,"Monogatari Series: Second Season","Comedy, Mystery, Romance, Supernatural, Vampire","TV","26",8.8,205959
"28",21939,"Mushishi Zoku Shou","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","TV","10",8.8,101351
"29",457,"Mushishi","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","TV","26",8.78,300030
"30",2001,"Tengen Toppa Gurren Lagann","Action, Adventure, Comedy, Mecha, Sci-Fi","TV","27",8.78,562962
"31",245,"Great Teacher Onizuka","Comedy, Drama, School, Shounen, Slice of Life","TV","43",8.77,268487
"32",32983,"Natsume Yuujinchou Go","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","TV","13",8.76,38865
"33",5258,"Hajime no Ippo: New Challenger","Comedy, Drama, Shounen, Sports","TV","26",8.75,88995
"34",28957,"Mushishi Zoku Shou: Suzu no Shizuku","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","Movie","1",8.75,32266
"35",11665,"Natsume Yuujinchou Shi","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","TV","13",8.75,98431
"36",431,"Howl no Ugoku Shiro","Adventure, Drama, Fantasy, Romance","Movie","1",8.74,333186
"37",11741,"Fate/Zero 2nd Season","Action, Fantasy, Supernatural, Thriller","TV","12",8.73,340973
"38",31757,"Kizumonogatari II: Nekketsu-hen","Action, Mystery, Supernatural, Vampire","Movie","1",8.73,34347
"39",19,"Monster","Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller","TV","74",8.72,247562
"40",12365,"Bakuman. 3rd Season","Comedy, Drama, Romance, Shounen","TV","25",8.71,133620
"41",1535,"Death Note","Mystery, Police, Psychological, Supernatural, Thriller","TV","37",8.71,1013917
"42",32366,"Gintama°: Aizome Kaori-hen","Comedy, Parody","OVA","2",8.69,16947
"43",30654,"Ansatsu Kyoushitsu (TV) 2nd Season","Action, Comedy, School, Shounen","TV","25",8.68,176475
"44",20583,"Haikyuu!!","Comedy, Drama, School, Shounen, Sports","TV","25",8.68,284498
"45",19647,"Hajime no Ippo: Rising","Comedy, Drama, Shounen, Sports","TV","25",8.68,66756
"46",4282,"Kara no Kyoukai 5: Mujun Rasen","Action, Drama, Mystery, Romance, Supernatural, Thriller","Movie","1",8.68,111074
"47",10379,"Natsume Yuujinchou San","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","TV","13",8.67,102322
"48",22135,"Ping Pong The Animation","Psychological, Seinen, Sports","TV","11",8.67,97187
"49",21329,"Mushishi Special: Hihamukage","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","Special","1",8.66,49036
"50",31043,"Boku dake ga Inai Machi","Mystery, Psychological, Seinen, Supernatural","TV","12",8.65,402381
"51",7785,"Yojouhan Shinwa Taikei","Mystery, Psychological, Romance","TV","11",8.65,122531
"52",3297,"Aria The Origination","Fantasy, Sci-Fi, Shounen, Slice of Life","TV","13",8.64,56162
"53",30709,"Kamisama Hajimemashita: Kako-hen","Comedy, Demons, Fantasy, Shoujo, Supernatural","OVA","4",8.64,33422
"54",6114,"Rainbow: Nisha Rokubou no Shichinin","Drama, Historical, Seinen, Thriller","TV","26",8.64,139474
"55",31240,"Re:Zero kara Hajimeru Isekai Seikatsu","Drama, Fantasy, Psychological, Thriller","TV","25",8.64,355839
"56",4565,"Tengen Toppa Gurren Lagann Movie: Lagann-hen","Action, Mecha, Sci-Fi, Space, Super Power","Movie","1",8.64,82253
"57",5300,"Zoku Natsume Yuujinchou","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","TV","13",8.64,114173
"58",9989,"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.","Drama, Slice of Life, Supernatural","TV","11",8.62,463835
"59",24415,"Kuroko no Basket 3rd Season","Comedy, School, Shounen, Sports","TV","25",8.62,184525
"60",11577,"Steins;Gate Movie: Fuka Ryouiki no Déjà vu","Sci-Fi, Thriller","Movie","1",8.61,192424
"61",10408,"Hotarubi no Mori e","Drama, Romance, Shoujo, Supernatural","Movie","1",8.61,197439
"62",28171,"Shokugeki no Souma","Ecchi, School, Shounen","TV","24",8.61,348951
"63",32995,"Yuri!!! on Ice","Comedy, Sports","TV","12",8.61,103178
"64",21899,"Gintama: Yorinuki Gintama-san on Theater 2D","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Movie","2",8.6,11104
"65",26055,"JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season","Action, Adventure, Drama, Shounen, Supernatural","TV","24",8.6,93657
"66",7472,"Gintama Movie: Shinyaku Benizakura-hen","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Movie","1",8.59,51185
"67",777,"Hellsing Ultimate","Action, Horror, Military, Seinen, Supernatural, Vampire","OVA","10",8.59,297454
"68",22535,"Kiseijuu: Sei no Kakuritsu","Action, Drama, Horror, Psychological, Sci-Fi, Seinen","TV","24",8.59,425457
"69",28735,"Shouwa Genroku Rakugo Shinjuu","Drama, Historical, Josei","TV","13",8.59,71295
"70",12431,"Uchuu Kyoudai","Comedy, Sci-Fi, Seinen, Slice of Life, Space","TV","99",8.59,72958
"71",28805,"Bakemono no Ko","Adventure, Supernatural","Movie","1",8.58,80825
"72",578,"Hotaru no Haka","Drama, Historical","Movie","1",8.58,174878
"73",16894,"Kuroko no Basket 2nd Season","Comedy, School, Shounen, Sports","TV","25",8.58,243325
"74",5028,"Major S5","Comedy, Drama, Romance, Sports","TV","25",8.58,28653
"75",21,"One Piece","Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power","TV","Unknown",8.58,504862
"76",801,"Ghost in the Shell: Stand Alone Complex 2nd GIG","Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen","TV","26",8.57,113993
"77",31933,"JoJo no Kimyou na Bouken: Diamond wa Kudakenai","Action, Adventure, Comedy, Drama, Shounen, Supernatural","TV","39",8.57,74074
"78",5205,"Kara no Kyoukai 7: Satsujin Kousatsu (Kou)","Action, Mystery, Romance, Supernatural, Thriller","Movie","1",8.57,95658
"79",17389,"Kingdom 2nd Season","Action, Historical, Military, Seinen","TV","39",8.57,31234
"80",170,"Slam Dunk","Comedy, Drama, School, Shounen, Sports","TV","101",8.56,82570
"81",10162,"Usagi Drop","Josei, Slice of Life","TV","11",8.56,194855
"82",18617,"Girls und Panzer der Film","Military, School","Movie","1",8.55,25641
"83",32182,"Mob Psycho 100","Action, Comedy, Slice of Life, Supernatural","TV","12",8.55,193716
"84",877,"Nana","Comedy, Drama, Music, Romance, Shoujo, Slice of Life","TV","47",8.55,197256
"85",2251,"Baccano!","Action, Comedy, Historical, Mystery, Seinen, Supernatural","TV","13",8.54,363215
"86",24687,"Mushishi Zoku Shou: Odoro no Michi","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","Special","1",8.54,34011
"87",16498,"Shingeki no Kyojin","Action, Drama, Fantasy, Shounen, Super Power","TV","25",8.54,896229
"88",10030,"Bakuman. 2nd Season","Comedy, Drama, Romance, Shounen","TV","25",8.53,151561
"89",5941,"Cross Game","Comedy, Drama, Romance, School, Sports","TV","50",8.53,53108
"90",30346,"Doukyuusei (Movie)","Romance, School, Shounen Ai, Slice of Life","Movie","1",8.53,28864
"91",3784,"Evangelion: 2.0 You Can (Not) Advance","Action, Mecha, Sci-Fi","Movie","1",8.53,182224
"92",13125,"Shinsekai yori","Drama, Horror, Mystery, Sci-Fi, Supernatural","TV","25",8.53,288376
"93",12029,"Uchuu Senkan Yamato 2199","Action, Drama, Military, Sci-Fi, Space","OVA","26",8.53,44223
"94",14397,"Chihayafuru 2","Drama, Game, Josei, Slice of Life, Sports","TV","25",8.52,86074
"95",10087,"Fate/Zero","Action, Fantasy, Supernatural","TV","13",8.51,453630
"96",14719,"JoJo no Kimyou na Bouken (TV)","Action, Adventure, Shounen, Supernatural, Vampire","TV","26",8.51,190197
"97",9756,"Mahou Shoujo Madoka★Magica","Drama, Magic, Psychological, Thriller","TV","12",8.51,462974
"98",10165,"Nichijou","Comedy, School, Slice of Life","TV","26",8.52,254436
"99",13601,"Psycho-Pass","Action, Police, Psychological, Sci-Fi","TV","22",8.5,509109
"100",22789,"Barakamon","Comedy, Slice of Life","TV","12",8.5,225927
"101",30230,"Diamond no Ace: Second Season","Comedy, School, Shounen, Sports","TV","51",8.5,38531
"102",18115,"Magi: The Kingdom of Magic","Action, Adventure, Fantasy, Magic, Shounen","TV","25",8.5,245026
"103",11981,"Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari","Drama, Magic, Psychological, Thriller","Movie","1",8.5,135735
"104",11917,"Major: World Series","Comedy, Drama, Sports","OVA","2",8.5,13405
"105",205,"Samurai Champloo","Action, Adventure, Comedy, Historical, Samurai, Shounen","TV","26",8.5,390076
"106",32282,"Shokugeki no Souma: Ni no Sara","Ecchi, School, Shounen","TV","13",8.5,185015
"107",6594,"Katanagatari","Action, Adventure, Historical, Martial Arts, Romance","TV","12",8.49,207241
"108",11979,"Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari","Drama, Magic, Psychological, Thriller","Movie","1",8.49,85361
"109",7655,"Major S6","Comedy, Drama, Sports","TV","25",8.49,24788
"110",2246,"Mononoke","Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural","TV","12",8.49,88850
"111",25835,"Shirobako","Comedy, Drama","TV","24",8.49,146895
"112",2921,"Ashita no Joe 2","Drama, Sports","TV","47",8.48,6259
"113",136,"Hunter x Hunter","Action, Adventure, Shounen, Super Power","TV","62",8.48,166255
"114",30503,"Noragami Aragoto","Action, Adventure, Shounen, Supernatural","TV","13",8.48,299434
"115",12531,"Sakamichi no Apollon","Drama, Josei, Music, Romance, School","TV","12",8.48,146592
"116",523,"Tonari no Totoro","Adventure, Comedy, Supernatural","Movie","1",8.48,271484
"117",467,"Ghost in the Shell: Stand Alone Complex","Action, Mecha, Military, Police, Sci-Fi, Seinen","TV","26",8.47,194491
"118",572,"Kaze no Tani no Nausicaä","Adventure, Fantasy","Movie","1",8.47,143273
"119",19815,"No Game No Life","Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural","TV","12",8.47,602291
"120",2559,"Romeo no Aoi Sora","Adventure, Drama, Historical, Slice of Life","TV","33",8.47,15074
"121",392,"Yuu☆Yuu☆Hakusho","Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen","TV","112",8.47,195017
"122",486,"Kino no Tabi: The Beautiful World","Action, Adventure, Slice of Life","TV","13",8.46,102822
"123",11771,"Kuroko no Basket","Comedy, School, Shounen, Sports","TV","25",8.46,338315
"124",1698,"Nodame Cantabile","Comedy, Drama, Josei, Music, Romance, Slice of Life","TV","23",8.46,157025
"125",5341,"Ookami to Koushinryou II","Adventure, Fantasy, Historical, Romance","TV","12",8.46,210491
"126",25781,"Shingeki no Kyojin: Kuinaki Sentaku","Action, Fantasy, Shoujo, Supernatural","OVA","2",8.45,92543
"127",10863,"Steins;Gate: Oukoubakko no Poriomania","Sci-Fi, Thriller","Special","1",8.46,159548
"128",28701,"Fate/stay night: Unlimited Blade Works 2nd Season","Action, Fantasy, Magic, Shounen, Supernatural","TV","13",8.45,205987
"129",5420,"Kemono no Souja Erin","Drama, Fantasy","TV","50",8.45,36751
"130",9260,"Kizumonogatari I: Tekketsu-hen","Mystery, Supernatural, Vampire","Movie","1",8.45,99579
