"order_insert","anime_id","name","genre","type","episodes","rating","members"
"131",32,"Neon Genesis Evangelion: The End of Evangelion","Dementia, Drama, Mecha, Psychological, Sci-Fi","Movie","1",8.45,215630
"132",4224,"Toradora!","Comedy, Romance, School, Slice of Life","TV","25",8.45,633817
"133",2236,"Toki wo Kakeru Shoujo","Adventure, Drama, Romance, Sci-Fi","Movie","1",8.44,289206
"134",2685,"Tsubasa: Tokyo Revelations","Action, Adventure, Drama, Fantasy, Romance, Shounen","OVA","3",8.44,57963
"135",31181,"Owarimonogatari","Comedy, Mystery, Supernatural","TV","12",8.43,107855
"136",45,"Rurouni Kenshin: Meiji Kenkaku Romantan","Action, Adventure, Comedy, Historical, Romance, Samurai","TV","94",8.43,218928
"137",2418,"Stranger: Mukou Hadan","Action, Adventure, Historical, Samurai","Movie","1",8.43,125503
"138",1365,"Detective Conan Movie 06: The Phantom of Baker Street","Adventure, Mystery, Police, Shounen","Movie","1",8.42,28462
"139",22297,"Fate/stay night: Unlimited Blade Works","Action, Fantasy, Magic, Shounen, Supernatural","TV","12",8.42,267484
"140",627,"Major S1","Comedy, Drama, Shounen, Sports","TV","26",8.42,41061
"141",10937,"Mobile Suit Gundam: The Origin","Action, Mecha, Military, Sci-Fi, Shounen, Space","OVA","6",8.42,15420
"142",23755,"Nanatsu no Taizai","Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural","TV","24",8.42,331627
"143",4081,"Natsume Yuujinchou","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","TV","13",8.42,210736
"144",4155,"One Piece Film: Strong World","Action, Adventure, Comedy, Drama, Fantasy, Shounen","Movie","1",8.42,85020
"145",1889,"Higurashi no Naku Koro ni Kai","Mystery, Psychological, Supernatural, Thriller","TV","24",8.41,218101
"146",137,"Hunter x Hunter OVA","Action, Adventure, Shounen, Super Power","OVA","8",8.41,53168
"147",139,"Hunter x Hunter: Greed Island Final","Action, Adventure, Shounen, Super Power","OVA","14",8.41,55787
"148",23317,"Kuroshitsuji: Book of Murder","Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural","OVA","2",8.41,67261
"149",558,"Major S2","Comedy, Drama, Shounen, Sports","TV","26",8.41,30689
"150",5040,"One Outs","Psychological, Seinen, Sports","TV","25",8.41,83056
"151",57,"Beck","Comedy, Drama, Music, Shounen, Slice of Life","TV","26",8.4,148328
"152",33,"Berserk","Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural","TV","25",8.4,226430
"153",5,"Cowboy Bebop: Tengoku no Tobira","Action, Drama, Mystery, Sci-Fi, Space","Movie","1",8.4,137636
"154",1842,"Major S3","Drama, Shounen, Sports","TV","26",8.4,29528
"155",6336,"Mobile Suit Gundam Unicorn","Action, Drama, Mecha, Military, Sci-Fi, Space","OVA","7",8.4,42076
"156",20651,"Natsume Yuujinchou: Itsuka Yuki no Hi ni","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","OVA","1",8.4,28302
"157",1210,"NHK ni Youkoso!","Comedy, Drama, Psychological, Romance","TV","24",8.4,291228
"158",338,"Rose of Versailles","Adventure, Drama, Historical, Romance, Shoujo","TV","40",8.4,32188
"159",13759,"Sakurasou no Pet na Kanojo","Comedy, Drama, Romance, School, Slice of Life","TV","24",8.4,380375
"160",6547,"Angel Beats!","Action, Comedy, Drama, School, Supernatural","TV","13",8.39,717796
"161",5081,"Bakemonogatari","Mystery, Romance, Supernatural, Vampire","TV","15",8.39,482268
"162",32867,"Bungou Stray Dogs 2nd Season","Mystery, Seinen, Supernatural","TV","12",8.39,83641
"163",264,"Hajime no Ippo: Champion Road","Comedy, Shounen, Sports","Special","1",8.39,47840
"164",12859,"One Piece Film: Z","Action, Adventure, Comedy, Drama, Fantasy, Shounen","Movie","1",8.39,76051
"165",853,"Ouran Koukou Host Club","Comedy, Harem, Romance, School, Shoujo","TV","26",8.39,422271
"166",5460,"Detective Conan Movie 13: The Raven Chaser","Action, Mystery, Police, Shounen","Movie","1",8.38,21798
"167",6746,"Durarara!!","Action, Mystery, Supernatural","TV","24",8.38,556431
"168",5690,"Nodame Cantabile Finale","Comedy, Josei, Music, Romance","TV","11",8.38,67697
"169",329,"Planetes","Drama, Romance, Sci-Fi, Seinen, Space","TV","26",8.38,105044
"170",34240,"Shelter","Music, Sci-Fi","Music","1",8.38,71136
"171",513,"Tenkuu no Shiro Laputa","Adventure, Fantasy, Romance, Sci-Fi","Movie","1",8.38,151061
"172",6945,"Gintama: Shiroyasha Koutan","Action, Comedy, Historical, Parody, Sci-Fi","Special","1",8.37,27213
"173",1142,"Hachimitsu to Clover II","Drama, Josei, Romance","TV","12",8.37,61493
"174",6811,"InuYasha: Kanketsu-hen","Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural","TV","26",8.37,99128
"175",16664,"Kaguya-hime no Monogatari","Fantasy, Historical","Movie","1",8.37,45547
"176",1604,"Katekyo Hitman Reborn!","Action, Comedy, Shounen, Super Power","TV","203",8.37,258103
"177",22145,"Kuroshitsuji: Book of Circus","Comedy, Demons, Fantasy, Historical, Shounen, Supernatural","TV","10",8.37,122895
"178",2966,"Ookami to Koushinryou","Adventure, Fantasy, Historical, Romance","TV","13",8.37,334932
"179",31964,"Boku no Hero Academia","Action, Comedy, School, Shounen, Super Power","TV","13",8.36,282002
"180",19363,"Gin no Saji 2nd Season","Comedy, School, Shounen, Slice of Life","TV","11",8.36,67032
"181",18195,"Little Busters!: Refrain","Comedy, Drama, Romance, School, Slice of Life, Supernatural","TV","13",8.36,71820
"182",9890,"Major: Message","Comedy, Drama, Sports","OVA","1",8.36,12282
"183",9130,"Saint Seiya: The Lost Canvas - Meiou Shinwa 2","Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural","OVA","13",8.36,27532
"184",9863,"SKET Dance","Comedy, School, Shounen","TV","77",8.36,101027
"185",7674,"Bakuman.","Comedy, Romance, Shounen","TV","25",8.35,246899
"186",11843,"Danshi Koukousei no Nichijou","Comedy, School, Shounen, Slice of Life","TV","12",8.35,258914
"187",16782,"Kotonoha no Niwa","Drama, Psychological, Romance, Slice of Life","Movie","1",8.35,189741
"188",28675,"Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen","Fantasy, Slice of Life, Supernatural","Movie","1",8.35,59815
"189",3226,"Major S4","Comedy, Drama, Shounen, Sports","TV","26",8.35,28002
"190",21557,"Omoide no Marnie","Drama, Mystery, Psychological","Movie","1",8.35,53590
"191",31715,"Working!!!: Lord of the Takanashi","Comedy, Romance, Slice of Life","Special","1",8.34,31856
"192",43,"Ghost in the Shell","Action, Mecha, Police, Psychological, Sci-Fi, Seinen","Movie","1",8.34,223036
"193",9617,"K-On! Movie","Comedy, Music, Slice of Life","Movie","1",8.34,115252
"194",31051,"Kuroko no Basket: Saikou no Present Desu","Action, School, Shounen, Sports","Special","1",8.34,22900
"195",10153,"Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s","Action, Comedy, Drama, Magic, Super Power","Movie","1",8.34,13315
"196",1033,"Sennen Joyuu","Action, Adventure, Drama, Fantasy, Historical, Romance","Movie","1",8.34,58492
"197",32188,"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero","Sci-Fi, Thriller","Special","1",8.34,38147
"198",3091,"xxxHOLiC Kei","Comedy, Drama, Mystery, Psychological, Supernatural","TV","13",8.34,74941
"199",12115,"Berserk: Ougon Jidai-hen III - Kourin","Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural","Movie","1",8.33,65594
"200",28223,"Death Parade","Drama, Game, Mystery, Psychological, Thriller","TV","12",8.33,383914
"201",121,"Fullmetal Alchemist","Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen","TV","51",8.33,600384
"202",3002,"Gyakkyou Burai Kaiji: Ultimate Survivor","Game, Psychological, Seinen, Thriller","TV","26",8.33,98996
"203",138,"Hunter x Hunter: Greed Island","Action, Adventure, Shounen, Super Power","OVA","8",8.33,57029
"204",6675,"Redline","Action, Cars, Sci-Fi, Sports","Movie","1",8.33,109392
"205",10800,"Chihayafuru","Drama, Game, Josei, Slice of Life, Sports","TV","25",8.32,158561
"206",32005,"Detective Conan Movie 20: The Darkest Nightmare","Action, Mystery, Police, Shounen","Movie","1",8.32,6229
"207",813,"Dragon Ball Z","Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power","TV","291",8.32,375662
"208",27821,"Fate/stay night: Unlimited Blade Works - Prologue","Action, Fantasy, Magic, Shounen, Supernatural","Special","1",8.32,106382
"209",28725,"Kokoro ga Sakebitagatterunda.","Drama, Romance, School","Movie","1",8.32,59652
"210",585,"Mimi wo Sumaseba","Adventure, Drama, Fantasy, Romance, Slice of Life","Movie","1",8.32,94435
"211",16067,"Nagi no Asukara","Drama, Fantasy, Romance","TV","26",8.32,224947
"212",30,"Neon Genesis Evangelion","Action, Dementia, Drama, Mecha, Psychological, Sci-Fi","TV","26",8.32,461946
"213",31490,"One Piece Film: Gold","Action, Adventure, Comedy, Drama, Fantasy, Shounen","Movie","1",8.32,18642
"214",759,"Tokyo Godfathers","Comedy, Drama","Movie","1",8.32,89424
"215",6,"Trigun","Action, Comedy, Sci-Fi","TV","26",8.32,283069
"216",6864,"xxxHOLiC Rou","Mystery, Supernatural","OVA","2",8.32,36353
"217",9735,"Gintama: Shinyaku Benizakura-hen","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Special","1",8.31,14002
"218",11977,"Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari","Drama, Magic, Psychological, Thriller","Movie","1",8.31,88164
"219",11123,"Sekaiichi Hatsukoi 2","Comedy, Drama, Romance, Shounen Ai","TV","12",8.31,69253
"220",23847,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku","Comedy, Drama, Romance, School","TV","13",8.31,222994
"221",33161,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA","Comedy, Romance, School","OVA","1",8.31,35120
"222",962,"Aria The Natural","Fantasy, Sci-Fi, Shounen, Slice of Life","TV","26",8.3,39596
"223",1519,"Black Lagoon: The Second Barrage","Action, Seinen","TV","12",8.3,203233
"224",2167,"Clannad","Comedy, Drama, Romance, School, Slice of Life, Supernatural","TV","23",8.3,566690
"225",16706,"Kami nomi zo Shiru Sekai: Megami-hen","Comedy, Harem, Romance, Shounen, Supernatural","TV","12",8.3,142612
"226",5681,"Summer Wars","Comedy, Sci-Fi","Movie","1",8.3,223359
"227",3901,"Baccano! Specials","Action, Comedy, Historical, Mystery, Seinen, Supernatural","Special","3",8.29,100412
"228",6467,"Detective Conan Movie 14: The Lost Ship in the Sky","Action, Mystery, Police, Shounen","Movie","1",8.29,20602
"229",10271,"Gyakkyou Burai Kaiji: Hakairoku-hen","Game, Psychological, Seinen, Thriller","TV","26",8.29,55566
"230",22507,"Initial D Final Stage","Cars, Seinen, Sports","TV","4",8.29,19702
"231",3701,"Kaiba","Adventure, Mystery, Romance, Sci-Fi","TV","12",8.29,56927
"232",19123,"One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari","Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power","Special","1",8.29,17247
"233",33255,"Saiki Kusuo no Ψ-nan (TV)","Comedy, School, Shounen, Supernatural","TV","120",8.29,47092
"234",372,"Cardcaptor Sakura Movie 2: Fuuin Sareta Card","Comedy, Drama, Fantasy, Magic, Romance, Shoujo","Movie","1",8.28,60637
"235",265,"Hajime no Ippo: Mashiba vs. Kimura","Comedy, Shounen, Sports","OVA","1",8.28,40623
"236",25681,"Kamisama Hajimemashita◎","Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural","TV","12",8.28,91796
"237",4722,"Skip Beat!","Comedy, Drama, Romance, Shoujo","TV","25",8.28,134818
"238",24277,"Yowamushi Pedal: Grande Road","Comedy, Drama, Shounen, Sports","TV","24",8.28,50778
"239",239,"Gankutsuou","Drama, Mystery, Sci-Fi, Supernatural, Thriller","TV","24",8.27,103828
"240",512,"Majo no Takkyuubin","Adventure, Comedy, Drama, Fantasy, Magic, Romance","Movie","1",8.27,152331
"241",4477,"Nodame Cantabile: Paris-hen","Comedy, Josei, Music, Romance, Slice of Life","TV","11",8.27,70822
"242",15323,"One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna","Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power","Special","1",8.27,24707
"243",31174,"Osomatsu-san","Comedy, Parody","TV","25",8.27,60988
"244",23327,"Space☆Dandy 2nd Season","Comedy, Sci-Fi, Space","TV","13",8.27,60918
"245",5365,"Tsumiki no Ie","Drama","Movie","1",8.27,45189
"246",3702,"Detroit Metal City","Comedy, Music","OVA","12",8.26,104893
"247",3167,"Eve no Jikan","Sci-Fi, Slice of Life","OVA","6",8.26,99074
"248",7465,"Eve no Jikan (Movie)","Sci-Fi, Slice of Life","Movie","1",8.26,66376
"249",7054,"Kaichou wa Maid-sama!","Comedy, Romance, School, Shoujo","TV","26",8.26,391628
"250",1257,"Saint Seiya: Meiou Hades Juuni Kyuu-hen","Adventure, Sci-Fi, Shounen","OVA","13",8.26,23701
"251",23283,"Zankyou no Terror","Psychological, Thriller","TV","11",8.26,342893
"252",2025,"Darker than Black: Kuro no Keiyakusha","Action, Mystery, Sci-Fi, Super Power","TV","25",8.25,440334
"253",235,"Detective Conan","Adventure, Comedy, Mystery, Police, Shounen","TV","Unknown",8.25,114702
"254",1364,"Detective Conan Movie 05: Countdown to Heaven","Adventure, Comedy, Mystery, Police, Shounen","Movie","1",8.25,25432
"255",18689,"Diamond no Ace","Comedy, School, Shounen, Sports","TV","75",8.25,81384
"256",22043,"Fairy Tail (2014)","Action, Adventure, Comedy, Fantasy, Magic, Shounen","TV","102",8.25,255076
"257",31988,"Hibike! Euphonium 2","Drama, Music, School","TV","13",8.25,47716
"258",20899,"JoJo no Kimyou na Bouken: Stardust Crusaders","Action, Adventure, Drama, Shounen, Supernatural","TV","24",8.25,120089
"259",1453,"Maison Ikkoku","Comedy, Drama, Romance, Slice of Life","TV","96",8.25,22079
"260",23623,"Non Non Biyori Repeat","Comedy, School, Seinen, Slice of Life","TV","12",8.26,64230
"261",1559,"Shijou Saikyou no Deshi Kenichi","Action, Comedy, Martial Arts, School, Shounen","TV","50",8.25,129112
"262",1382,"Yuusha-Ou GaoGaiGar Final","Adventure, Drama, Mecha, Sci-Fi, Shounen","OVA","8",8.25,5001
"263",23289,"Gekkan Shoujo Nozaki-kun","Comedy, Romance, School","TV","12",8.24,292622
"264",47917,"Bocchi The Rock!","Musical, Drama, Seinen, Comedy, Slice of Life","TV","12",8.77,643144
